NAME	LAT	LON
PORTALEGRE	39,17	-7,25
LISBOA/GAGO COUTINHO	38,46	-9,08
CAP VERDEN/PRAIA	14,54	-23,31
SAL	16,44	-22,57
UFS TW EMS	54,1	6,21
UFS DEUTSCHE BUCHT	54,1	7,27
HELGOLAND	54,1	7,53
WESTERLAND	54,55	8,21
LIST/SYLT	55,01	8,25
LECK	54,48	8,57
HUSUM	54,31	9,09
ST. PETER ORDING	54,2	8,36
FLENSBURG	54,5	9,3
EGGEBEK	54,38	9,21
SCHLESWIG	54,32	9,33
SCHLESWIG-JAGEL	54,28	9,31
HOHN	54,19	9,32
OLPENITZ	54,4	10,02
LEUCHTTURM KIEL	54,3	10,16
KIEL-H.	54,23	10,09
WESTERMARKELSDORF	54,32	11,04
PUTTGARDEN	54,3	11,13
ARKONA	54,41	13,26
PUTBUS	54,22	13,29
GREIFSWALDER OIE	54,14	13,55
NORDERNEY	53,43	7,09
JEVER	53,32	7,53
LEUCHTTURM A. WESER	53,51	8,07
WILHELMSHAVEN	53,3	8,03
WITTMUNDHAVEN	53,33	7,4
BREMERHAVEN	53,32	8,35
ELPERSBUETTEL	54,04	9,01
CUXHAVEN	53,52	8,43
NORDHOLZ	53,46	8,4
BREMERVOERDE	53,3	9,1
ITZEHOE	54	9,35
NEUMUENSTER	54,05	9,56
QUICKBORN	53,44	9,53
HAMBURG FLUGHAFEN	53,38	10
DOERNICK	54,1	10,21
PELZERHAKEN	54,05	10,53
LUEBECK	53,49	10,42
BOLTENHAGEN	54	11,11
SCHWERIN	53,38	11,23
GOLDBERG	53,37	12,06
WARNEMUENDE	54,11	12,05
LAAGE	53,55	12,17
TETEROW	53,46	12,37
BARTH	54,2	12,43
PAROW	54,22	13,05
GREIFSWALD	54,06	13,25
UECKERMUENDE	53,44	14,04
EMDEN-FLUGPLATZ	53,23	7,14
EMDEN	53,21	7,12
FRIESOYTHE-ALTENOYTH	53,04	7,54
OLDENBURG	53,11	8,1
AHLHORN	52,53	8,14
BREMEN	53,03	8,48
ROTENBURG	53,08	9,21
SOLTAU	52,58	9,47
BERGEN-HOHNE	52,49	9,56
FASSBERG	52,55	10,11
BOIZENBURG	53,23	10,41
LUECHOW	52,58	11,08
SEEHAUSEN	52,53	11,44
MARNITZ	53,19	11,56
KYRITZ	52,56	12,25
WAREN	53,31	12,4
NEURUPPIN	52,54	12,49
NEURUPPIN-ALT RUPPIN	52,57	12,51
WITTSTOCK	53,11	12,31
BASEPOHL	53,44	12,56
NEUGLOBSOW	53,09	13,02
NEUBRANDENBURG	53,33	13,12
TROLLENHAGEN	53,36	13,18
FELDBERG/MECKLENBURG	53,19	13,25
GRUENOW	53,19	13,56
ANGERMUENDE	53,02	14
LINGEN-BACCUM	52,31	7,25
RHEINE-BENTLAGE	52,18	7,23
NORDHORN	52,33	7,1
AHAUS	52,05	6,56
BELM	52,19	8,1
HOPSTEN	52,2	7,33
MUENSTER/OSNABR.	52,08	7,42
OSNABRUECK	52,15	8,03
GUETERSLOH	51,55	8,18
DIEPHOLZ	52,35	8,21
MINDEN	52,19	8,51
BAD SALZUFLEN	52,06	8,45
BIELEFELD	51,58	8,33
WUNSTORF	52,27	9,26
BUECKEBURG	52,17	9,05
HANNOVER	52,28	9,41
CELLE	52,36	10,01
BRAUNSCHWEIG	52,17	10,27
UMMENDORF	52,1	11,11
GARDELEGEN	52,31	11,23
MAGDEBURG	52,07	11,35
GENTHIN	52,23	12,1
WIESENBURG	52,07	12,28
BARUTH	52,04	13,3
POTSDAM	52,23	13,04
BERLIN-DAHLEM	52,28	13,18
BERLIN-TEGEL	52,34	13,19
BERLIN-TEMPELHOF	52,28	13,24
BERLIN-BRANDENBURG	52,23	13,31
BERLIN-ALEX.	52,31	13,25
LINDENBERG	52,13	14,07
MANSCHNOW	52,33	14,33
DUESSELDORF	51,18	6,46
BRUEGGEN	51,12	6,08
MOENCHENGLADBACH	51,14	6,3
KALKAR	51,44	6,16
NIEDERRHEIN	51,36	6,09
BOCHOLT	51,5	6,32
ESSEN	51,24	6,58
DORTMUND	51,31	7,37
LUEDENSCHEID	51,15	7,38
